tem Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
The Vegetarian,1042,51,117,35,TRUE,"W,M,S"
California,1359,48,103,79,TRUE,"W,M,S"
Margherita,1075,54,105,43,TRUE,"W,M,S"
Chicken Bacon Ranch,1732,106,95,90,FALSE,"W,M,E,S"
Pastrami,1211,71,100,57,FALSE,"W,M,S"
Buffalo Chicken,1452,86,95,72,FALSE,"W,M,S,E"
BBQ Chicken,1473,93,151,48,FALSE,"W,M,S"
Pesto Mushroom,1443,73,92,82,TRUE,"W,M,T,S"
Pizza Sub,897,38,67,53,FALSE,"W,M,S"
Pastrami Sub,640,48,57,24,FALSE,"W,M,S"
Turkey Pesto,699,47,59,32,FALSE,"W,M,T,S"
Rustic Salad,466,14,20,39,TRUE,"M,S"
Chicken Club,944,56,57,53,FALSE,"M,E,S"
Caesar Salad,524,16,17,46,TRUE,"M,E,S"